PublicationYear,PMID,Type
2019,32402126,JOURNAL ARTICLE
2020,32398013,JOURNAL ARTICLE
2019,32396829,JOURNAL ARTICLE
2020,32393873,NEWS
2019,32392201,ENGLISH ABSTRACT
2020,32391815,JOURNAL ARTICLE
2019,32391352,JOURNAL ARTICLE
2019,32391346,JOURNAL ARTICLE
2020,32383867,JOURNAL ARTICLE
2020,32383856,JOURNAL ARTICLE
2019,32381722,JOURNAL ARTICLE
2020,32379967,JOURNAL ARTICLE
2019,32377174,JOURNAL ARTICLE
2020,32374435,JOURNAL ARTICLE
2020,32373931,JOURNAL ARTICLE
2019,32373075,JOURNAL ARTICLE
2019,32371090,JOURNAL ARTICLE
2020,32370107,JOURNAL ARTICLE
2020,32365353,JOURNAL ARTICLE
2020,32363182,JOURNAL ARTICLE
2019,32363038,JOURNAL ARTICLE
2020,32361627,JOURNAL ARTICLE
2019,32359477,JOURNAL ARTICLE
2020,32358762,JOURNAL ARTICLE
2020,32358710,JOURNAL ARTICLE
2020,32358068,JOURNAL ARTICLE
2020,32357776,JOURNAL ARTICLE
2020,32356962,JOURNAL ARTICLE
2020,32355169,JOURNAL ARTICLE
2020,32353999,JOURNAL ARTICLE
2020,32353228,JOURNAL ARTICLE
2020,32353164,JOURNAL ARTICLE
2020,32353072,JOURNAL ARTICLE
2020,32352996,JOURNAL ARTICLE
2020,32352210,JOURNAL ARTICLE
2020,32352192,JOURNAL ARTICLE
2019,32351430,JOURNAL ARTICLE
2019,32349767,JOURNAL ARTICLE
2019,32349657,JOURNAL ARTICLE
2020,32347714,JOURNAL ARTICLE
2020,32347060,JOURNAL ARTICLE
2020,32344921,JOURNAL ARTICLE
2020,32343367,JOURNAL ARTICLE
2019,32341845,JOURNAL ARTICLE
2020,32340782,JOURNAL ARTICLE
2020,32339455,JOURNAL ARTICLE
2020,32337821,JOURNAL ARTICLE
2020,32335188,JOURNAL ARTICLE
2019,32332738,JOURNAL ARTICLE
2020,32330385,JOURNAL ARTICLE
2020,32329213,JOURNAL ARTICLE
2020,32328486,JOURNAL ARTICLE
2019,32328077,EDITORIAL
2020,32324989,JOURNAL ARTICLE
2020,32324903,JOURNAL ARTICLE
2020,32323696,PUBLISHED ERRATUM
2020,32323410,EDITORIAL
2019,32323141,JOURNAL ARTICLE
2019,32322472,JOURNAL ARTICLE
2019,32319122,JOURNAL ARTICLE
2019,32317969,JOURNAL ARTICLE
2020,32317381,JOURNAL ARTICLE
2020,32316457,JOURNAL ARTICLE
2020,32315761,JOURNAL ARTICLE
2020,32315573,JOURNAL ARTICLE
2020,32313937,JOURNAL ARTICLE
2019,32310310,JOURNAL ARTICLE
2019,32308215,JOURNAL ARTICLE
2020,32306882,JOURNAL ARTICLE
2020,32304955,JOURNAL ARTICLE
2020,32302926,JOURNAL ARTICLE
2020,32301602,JOURNAL ARTICLE
2019,32296696,JOURNAL ARTICLE
2019,32296695,JOURNAL ARTICLE
2020,32294286,JOURNAL ARTICLE
2020,32293883,JOURNAL ARTICLE
2019,32293158,JOURNAL ARTICLE
2020,32293096,JOURNAL ARTICLE
2019,32289350,JOURNAL ARTICLE
2019,32286628,JOURNAL ARTICLE
2019,32286350,JOURNAL ARTICLE
2019,32284568,JOURNAL ARTICLE
2020,32283638,JOURNAL ARTICLE
2019,32282794,JOURNAL ARTICLE
2019,32281750,JOURNAL ARTICLE
2020,32280896,JOURNAL ARTICLE
2019,32280859,JOURNAL ARTICLE
2020,32277990,JOURNAL ARTICLE
2020,32277448,JOURNAL ARTICLE
2020,32277446,JOURNAL ARTICLE
2020,32277291,JOURNAL ARTICLE
2019,32275854,JOURNAL ARTICLE
2020,32275821,JOURNAL ARTICLE
2020,32274875,JOURNAL ARTICLE
2020,32272670,JOURNAL ARTICLE
2020,32271630,JOURNAL ARTICLE
2020,32271543,JOURNAL ARTICLE
2020,32270249,JOURNAL ARTICLE
2020,32270050,JOURNAL ARTICLE
2019,32269250,JOURNAL ARTICLE
2019,32269218,JOURNAL ARTICLE
2019,32267085,JOURNAL ARTICLE
2019,32266323,JOURNAL ARTICLE
2020,32266245,EDITORIAL
2020,32266240,JOURNAL ARTICLE
2019,32266230,JOURNAL ARTICLE
2019,32265866,JOURNAL ARTICLE
2019,32258005,JOURNAL ARTICLE
2020,32257583,JOURNAL ARTICLE
2019,32256509,JOURNAL ARTICLE
2020,32251509,JOURNAL ARTICLE
2019,32251274,JOURNAL ARTICLE
2019,32248607,JOURNAL ARTICLE
2019,32247835,JOURNAL ARTICLE
2019,32246719,JOURNAL ARTICLE
2020,32246068,JOURNAL ARTICLE
2020,32245809,JOURNAL ARTICLE
2020,32245761,JOURNAL ARTICLE
2019,32245400,JOURNAL ARTICLE
2020,32243795,JOURNAL ARTICLE
2020,32243747,JOURNAL ARTICLE
2019,32241946,JOURNAL ARTICLE
2019,32239523,JOURNAL ARTICLE
2019,32235841,JOURNAL ARTICLE
2019,32234216,JOURNAL ARTICLE
2019,32232367,JOURNAL ARTICLE
2020,32232356,JOURNAL ARTICLE
2020,32227986,JOURNAL ARTICLE
2019,32226483,JOURNAL ARTICLE
2020,32224973,JOURNAL ARTICLE
2019,32224263,JOURNAL ARTICLE
2019,32220744,JOURNAL ARTICLE
2019,32220254,JOURNAL ARTICLE
2020,32219482,JOURNAL ARTICLE
2020,32219266,JOURNAL ARTICLE
2019,32218793,JOURNAL ARTICLE
2020,32217822,JOURNAL ARTICLE
2020,32216777,JOURNAL ARTICLE
2020,32216376,JOURNAL ARTICLE
2020,32216368,JOURNAL ARTICLE
2020,32215253,JOURNAL ARTICLE
2020,32212873,JOURNAL ARTICLE
2019,32211000,JOURNAL ARTICLE
2019,32210731,JOURNAL ARTICLE
2020,32210238,JOURNAL ARTICLE
2019,32209230,JOURNAL ARTICLE
2020,32208720,JOURNAL ARTICLE
2020,32208677,JOURNAL ARTICLE
2019,32207882,JOURNAL ARTICLE
2020,32207619,JOURNAL ARTICLE
2019,32207039,JOURNAL ARTICLE
2019,32206323,JOURNAL ARTICLE
2020,32204576,JOURNAL ARTICLE
2020,32203635,JOURNAL ARTICLE
2019,32199984,JOURNAL ARTICLE
2020,32199140,JOURNAL ARTICLE
2019,32199128,JOURNAL ARTICLE
2019,32198037,JOURNAL ARTICLE
2019,32195237,JOURNAL ARTICLE
2019,32194598,JOURNAL ARTICLE
2019,32188438,JOURNAL ARTICLE
2019,32187836,JOURNAL ARTICLE
2019,32187828,JOURNAL ARTICLE
2020,32187416,JOURNAL ARTICLE
2019,32185432,JOURNAL ARTICLE
2019,32185403,JOURNAL ARTICLE
2020,32184249,JOURNAL ARTICLE
2019,32180918,JOURNAL ARTICLE
2019,32179472,JOURNAL ARTICLE
2019,32176834,JOURNAL ARTICLE
2019,32174833,JOURNAL ARTICLE
2019,32172469,JOURNAL ARTICLE
2019,32172160,JOURNAL ARTICLE
2019,32170856,JOURNAL ARTICLE
2019,32170210,JOURNAL ARTICLE
2019,32170129,JOURNAL ARTICLE
2020,32168999,JOURNAL ARTICLE
2020,32167761,JOURNAL ARTICLE
2020,32165165,JOURNAL ARTICLE
2020,32164221,JOURNAL ARTICLE
2020,32163700,JOURNAL ARTICLE
2020,32163268,JOURNAL ARTICLE
2019,32161816,JOURNAL ARTICLE
2020,32161767,JOURNAL ARTICLE
2019,32161602,JOURNAL ARTICLE
2020,32161148,JOURNAL ARTICLE
2020,32160465,JOURNAL ARTICLE
2020,32159931,JOURNAL ARTICLE
2019,32157083,JOURNAL ARTICLE
2019,32156703,JOURNAL ARTICLE
2020,32155843,JOURNAL ARTICLE
2020,32155569,JOURNAL ARTICLE
2020,32155350,JOURNAL ARTICLE
2019,32154231,JOURNAL ARTICLE
2019,32152076,JOURNAL ARTICLE
2019,32151492,JOURNAL ARTICLE
2020,32151155,JOURNAL ARTICLE
2020,32151150,JOURNAL ARTICLE
2020,32150346,JOURNAL ARTICLE
2020,32146493,JOURNAL ARTICLE
2020,32144669,JOURNAL ARTICLE
2020,32144140,JOURNAL ARTICLE
2020,32143740,JOURNAL ARTICLE
2020,32142605,JOURNAL ARTICLE
2020,32142603,JOURNAL ARTICLE
2019,32141239,JOURNAL ARTICLE
2019,32140941,JOURNAL ARTICLE
2019,32140463,JOURNAL ARTICLE
2019,32140461,JOURNAL ARTICLE
2019,32140148,JOURNAL ARTICLE
2019,32139676,JOURNAL ARTICLE
2019,32138729,JOURNAL ARTICLE
2020,32134640,JOURNAL ARTICLE
2020,32133841,JOURNAL ARTICLE
2019,32133338,JOURNAL ARTICLE
2019,32133018,JOURNAL ARTICLE
2019,32132890,JOURNAL ARTICLE
2020,32132688,JOURNAL ARTICLE
2019,32132536,JOURNAL ARTICLE
2020,32132204,JOURNAL ARTICLE
2019,32131831,JOURNAL ARTICLE
2019,32130913,JOURNAL ARTICLE
2019,32130564,JOURNAL ARTICLE
2020,32129980,JOURNAL ARTICLE
2019,32129468,JOURNAL ARTICLE
2019,32128471,JOURNAL ARTICLE
2020,32125859,JOURNAL ARTICLE
2018,32123964,JOURNAL ARTICLE
2020,32122265,JOURNAL ARTICLE
2020,32119929,JOURNAL ARTICLE
2019,32117947,JOURNAL ARTICLE
2019,32117925,JOURNAL ARTICLE
2019,32111839,JOURNAL ARTICLE
2020,32110897,JOURNAL ARTICLE
2019,32110728,JOURNAL ARTICLE
2019,32109718,JOURNAL ARTICLE
2020,32105657,JOURNAL ARTICLE
2019,32105404,JOURNAL ARTICLE
2019,32105403,JOURNAL ARTICLE
2020,32103426,JOURNAL ARTICLE
2019,32099803,JOURNAL ARTICLE
2020,32098911,JOURNAL ARTICLE
2019,32098873,JOURNAL ARTICLE
2020,32098845,JOURNAL ARTICLE
2020,32094921,JOURNAL ARTICLE
2020,32092279,JOURNAL ARTICLE
2020,32092011,JOURNAL ARTICLE
2019,32087574,JOURNAL ARTICLE
2019,32087050,JOURNAL ARTICLE
2019,32085502,JOURNAL ARTICLE
2020,32083847,JOURNAL ARTICLE
2019,32083668,JOURNAL ARTICLE
2019,32082344,JOURNAL ARTICLE
2019,32080963,JOURNAL ARTICLE
2019,32080196,JOURNAL ARTICLE
2020,32079394,JOURNAL ARTICLE
2020,32078772,JOURNAL ARTICLE
2020,32078771,JOURNAL ARTICLE
2020,32078768,JOURNAL ARTICLE
2020,32078765,JOURNAL ARTICLE
2020,32078418,JOURNAL ARTICLE
2019,32078238,JOURNAL ARTICLE
2019,32078019,JOURNAL ARTICLE
2019,32077472,JOURNAL ARTICLE
2020,32075446,JOURNAL ARTICLE
2020,32075263,JOURNAL ARTICLE
2018,32072926,JOURNAL ARTICLE
2020,32072864,JOURNAL ARTICLE
2019,32070349,JOURNAL ARTICLE
2020,32069395,JOURNAL ARTICLE
2019,32068251,JOURNAL ARTICLE
2019,32060550,JOURNAL ARTICLE
2019,32060284,JOURNAL ARTICLE
2019,32060271,JOURNAL ARTICLE
2019,32060024,JOURNAL ARTICLE
2020,32058806,JOURNAL ARTICLE
2019,32058036,JOURNAL ARTICLE
2019,32055785,JOURNAL ARTICLE
2019,32055320,JOURNAL ARTICLE
2019,32054834,JOURNAL ARTICLE
2019,32053746,JOURNAL ARTICLE
2019,32053197,JOURNAL ARTICLE
2020,32052978,JOURNAL ARTICLE
2019,32052019,JOURNAL ARTICLE
2019,32051224,JOURNAL ARTICLE
2019,32050455,JOURNAL ARTICLE
2020,32050043,JOURNAL ARTICLE
2019,32049403,JOURNAL ARTICLE
2018,32048953,JOURNAL ARTICLE
2019,32047743,JOURNAL ARTICLE
2019,32047173,JOURNAL ARTICLE
2019,32047145,JOURNAL ARTICLE
2020,32046848,JOURNAL ARTICLE
2020,32046843,JOURNAL ARTICLE
2019,32045692,JOURNAL ARTICLE
2019,32045111,JOURNAL ARTICLE
2020,32043291,JOURNAL ARTICLE
2019,32042198,JOURNAL ARTICLE
2020,32040906,JOURNAL ARTICLE
2019,32039339,JOURNAL ARTICLE
2019,32039184,JOURNAL ARTICLE
2019,32039175,JOURNAL ARTICLE
2019,32035339,JOURNAL ARTICLE
2019,32034937,JOURNAL ARTICLE
2019,32034883,JOURNAL ARTICLE
2019,32034863,JOURNAL ARTICLE
2020,32032487,JOURNAL ARTICLE
2019,32029285,JOURNAL ARTICLE
2019,32028587,JOURNAL ARTICLE
2019,32027839,JOURNAL ARTICLE
2019,32024835,JOURNAL ARTICLE
2019,32024292,JOURNAL ARTICLE
2020,32023356,JOURNAL ARTICLE
2020,32021916,JOURNAL ARTICLE
2020,32017536,JOURNAL ARTICLE
2020,32015589,JOURNAL ARTICLE
2019,32014265,ENGLISH ABSTRACT
2019,32014050,JOURNAL ARTICLE
2019,32013995,JOURNAL ARTICLE
2019,32010945,JOURNAL ARTICLE
2019,32009294,JOURNAL ARTICLE
2019,32009173,JOURNAL ARTICLE
2019,32009164,JOURNAL ARTICLE
2020,32009112,JOURNAL ARTICLE
2019,32005876,JOURNAL ARTICLE
2019,32005372,JOURNAL ARTICLE
2020,31999448,JOURNAL ARTICLE
2019,31998710,JOURNAL ARTICLE
2020,31996832,NEWS
2020,31995709,JOURNAL ARTICLE
2019,31995278,JOURNAL ARTICLE
2019,31993414,JOURNAL ARTICLE
2019,31992873,JOURNAL ARTICLE
2020,31992039,JOURNAL ARTICLE
2020,31991671,JOURNAL ARTICLE
2019,31988703,JOURNAL ARTICLE
2019,31986354,JOURNAL ARTICLE
2019,31985876,JOURNAL ARTICLE
2019,31982863,JOURNAL ARTICLE
2019,31981600,JOURNAL ARTICLE
2019,31981217,JOURNAL ARTICLE
2019,31980250,JOURNAL ARTICLE
2019,31979320,JOURNAL ARTICLE
2020,31977192,JOURNAL ARTICLE
2019,31976163,JOURNAL ARTICLE
2019,31974649,JOURNAL ARTICLE
2019,31974527,JOURNAL ARTICLE
2020,31973519,EVALUATION STUDY
2019,31971575,JOURNAL ARTICLE
2019,31970152,JOURNAL ARTICLE
2019,31968601,JOURNAL ARTICLE
2019,31968260,JOURNAL ARTICLE
2019,31965222,JOURNAL ARTICLE
2019,31964701,JOURNAL ARTICLE
2019,31960974,JOURNAL ARTICLE
2019,31960346,JOURNAL ARTICLE
2019,31959751,JOURNAL ARTICLE
2019,31959363,JOURNAL ARTICLE
2020,31957181,JOURNAL ARTICLE
2019,31956705,JOURNAL ARTICLE
2019,31954660,JOURNAL ARTICLE
2019,31953561,JOURNAL ARTICLE
2020,31953261,JOURNAL ARTICLE
2019,31953206,JOURNAL ARTICLE
2019,31952951,JOURNAL ARTICLE
2019,31949154,JOURNAL ARTICLE
2019,31948729,JOURNAL ARTICLE
2020,31944986,JOURNAL ARTICLE
2020,31944688,JOURNAL ARTICLE
2019,31943629,JOURNAL ARTICLE
2020,31942827,JOURNAL ARTICLE
2020,31939134,JOURNAL ARTICLE
2020,31934608,JOURNAL ARTICLE
2019,31932592,JOURNAL ARTICLE
2020,31932370,JOURNAL ARTICLE
2019,31927061,JOURNAL ARTICLE
2020,31922737,JOURNAL ARTICLE
2020,31922719,JOURNAL ARTICLE
2020,31922526,EVALUATION STUDY
2019,31921834,EDITORIAL
2019,31921006,JOURNAL ARTICLE
2019,31917414,JOURNAL ARTICLE
2020,31915225,JOURNAL ARTICLE
2020,31913750,JOURNAL ARTICLE
2020,31913610,JOURNAL ARTICLE
2019,31908924,JOURNAL ARTICLE
2019,31908923,JOURNAL ARTICLE
2019,31907374,JOURNAL ARTICLE
2020,31899623,JOURNAL ARTICLE
2019,31898252,JOURNAL ARTICLE
2020,31895394,JOURNAL ARTICLE
2019,31891062,JOURNAL ARTICLE
2019,31890028,JOURNAL ARTICLE
2019,31889390,JOURNAL ARTICLE
2019,31887027,JOURNAL ARTICLE
2019,31883796,JOURNAL ARTICLE
2019,31880928,JOURNAL ARTICLE
2019,31880868,JOURNAL ARTICLE
2019,31880143,JOURNAL ARTICLE
2019,31880141,JOURNAL ARTICLE
2019,31880140,JOURNAL ARTICLE
2019,31880135,JOURNAL ARTICLE
2019,31880133,JOURNAL ARTICLE
2019,31880131,JOURNAL ARTICLE
2019,31878193,JOURNAL ARTICLE
2019,31877425,JOURNAL ARTICLE
2019,31872971,LETTER
2019,31872711,JOURNAL ARTICLE
2019,31872653,JOURNAL ARTICLE
2019,31872614,JOURNAL ARTICLE
2019,31872568,JOURNAL ARTICLE
2019,31870296,JOURNAL ARTICLE
2019,31868982,JOURNAL ARTICLE
2019,31868979,JOURNAL ARTICLE
2019,31867315,JOURNAL ARTICLE
2019,31867115,JOURNAL ARTICLE
2019,31866428,JOURNAL ARTICLE
2019,31866398,JOURNAL ARTICLE
2019,31863552,JOURNAL ARTICLE
2019,31863065,HISTORICAL ARTICLE
2019,31862725,JOURNAL ARTICLE
2019,31862543,JOURNAL ARTICLE
2019,31862233,JOURNAL ARTICLE
2019,31860281,JOURNAL ARTICLE
2019,31858976,JOURNAL ARTICLE
2018,31857575,JOURNAL ARTICLE
2019,31850327,JOURNAL ARTICLE
2019,31848346,JOURNAL ARTICLE
2019,31848241,JOURNAL ARTICLE
2019,31847781,JOURNAL ARTICLE
2019,31847764,EDITORIAL
2019,31844302,JOURNAL ARTICLE
2019,31840797,JOURNAL ARTICLE
2019,31839835,JOURNAL ARTICLE
2019,31836745,JOURNAL ARTICLE
2019,31836580,JOURNAL ARTICLE
2019,31836200,JOURNAL ARTICLE
2019,31834794,JOURNAL ARTICLE
2019,31829622,JOURNAL ARTICLE
2019,31829621,JOURNAL ARTICLE
2019,31828898,JOURNAL ARTICLE
2019,31825601,JOURNAL ARTICLE
2019,31822621,JOURNAL ARTICLE
2019,31822587,JOURNAL ARTICLE
2019,31821903,JOURNAL ARTICLE
2019,31819119,JOURNAL ARTICLE
2019,31816638,JOURNAL ARTICLE
2019,31816585,JOURNAL ARTICLE
2019,31816180,JOURNAL ARTICLE
2019,31814572,JOURNAL ARTICLE
2019,31814360,JOURNAL ARTICLE
2019,31814101,JOURNAL ARTICLE
2019,31812911,JOURNAL ARTICLE
2019,31811524,JOURNAL ARTICLE
2019,31811314,JOURNAL ARTICLE
2019,31809012,JOURNAL ARTICLE
2019,31807678,JOURNAL ARTICLE
2019,31803925,JOURNAL ARTICLE
2019,31803907,JOURNAL ARTICLE
2019,31803901,JOURNAL ARTICLE
2019,31803358,CASE REPORTS
2019,31801279,JOURNAL ARTICLE
2019,31798686,JOURNAL ARTICLE
2019,31796590,JOURNAL ARTICLE
2019,31796086,JOURNAL ARTICLE
2019,31795372,JOURNAL ARTICLE
2019,31795196,JOURNAL ARTICLE
2018,31792443,JOURNAL ARTICLE
2019,31788779,JOURNAL ARTICLE
2019,31787043,JOURNAL ARTICLE
2019,31784686,JOURNAL ARTICLE
2019,31783901,PUBLISHED ERRATUM
2019,31783869,JOURNAL ARTICLE
2019,31782426,JOURNAL ARTICLE
2019,31781557,JOURNAL ARTICLE
2019,31780816,JOURNAL ARTICLE
