Unique ID,Document Type,Publication Year, Total Times Cited
WOS:000371591100011,Article,2016,5
WOS:000371623500027,Article,2016,0
WOS:000371650000018,Review,2016,103
WOS:000371650000025,Article,2016,0
WOS:000371650000029,Article,2016,11
WOS:000371693300013,Article,2016,3
WOS:000371706300022,Editorial Material,2016,0
WOS:000371741600005,Review; Book Chapter,2016,0
WOS:000371838300017,Article,2016,45
WOS:000371851200018,Article,2016,6
WOS:000372209400009,Article,2016,10
WOS:000372325600015,Article,2016,3
WOS:000372351900024,Article,2016,0
WOS:000372440600001,Article,2016,6
WOS:000372469200012,Article; Proceedings Paper,2016,0
WOS:000372469200013,Article,2016,7
WOS:000372559900044,Article,2016,18
WOS:000372582300027,Article,2016,12
WOS:000372616800006,Article,2016,16
WOS:000372938500016,Article,2016,23
WOS:000372974600015,Article,2016,37
WOS:000373230600001,Article,2016,2
WOS:000373294100008,Article,2016,7
WOS:000373294100033,Article,2016,0
WOS:000373418600007,Review,2016,25
WOS:000373468200001,Article,2016,15
WOS:000373542000016,Article,2016,7
WOS:000373602000025,Article,2016,11
WOS:000373606600030,Article,2016,1
WOS:000373690900008,Letter,2016,5
WOS:000373713600052,Article,2016,13
WOS:000373719600006,Article,2016,8
WOS:000373822100010,Article,2016,44
WOS:000373863200013,Article,2016,5
WOS:000373863200117,Article,2016,6
WOS:000373863400005,Article,2016,14
WOS:000373869400003,Article,2016,38
WOS:000373923600001,Article,2016,86
WOS:000373930800020,Article,2016,6
WOS:000373945100006,Article,2016,1
WOS:000374076000015,Article,2016,1
WOS:000374076000024,Article,2016,6
WOS:000374076000025,Article,2016,9
WOS:000374164600037,Article,2016,93
WOS:000374169200010,Article,2016,4
WOS:000374274200007,Article,2016,13
WOS:000374303000005,Article,2016,1
WOS:000374344700001,Article,2016,16
WOS:000374385700001,Article,2016,0
WOS:000374404000020,Article,2016,24
WOS:000374443300036,Article,2016,26
WOS:000374613100007,Article,2016,3
WOS:000374613100010,Article,2016,10
WOS:000374616900063,Article,2016,4
WOS:000374810600009,Article,2016,14
WOS:000374832700002,Article,2016,46
WOS:000374863100004,Article,2016,3
WOS:000374863100018,Article,2016,0
WOS:000374863100020,Article,2016,8
WOS:000374863900002,Article,2016,7
WOS:000374877600009,Article; Proceedings Paper,2016,6
WOS:000374877600010,Article; Proceedings Paper,2016,12
WOS:000374877600011,Article; Proceedings Paper,2016,7
WOS:000375009200006,Article,2016,15
WOS:000375055300001,Article,2016,6
WOS:000375165400013,Article,2016,2
WOS:000375267600002,Article,2016,43
WOS:000375425800013,Article,2016,7
WOS:000375425800014,Article; Proceedings Paper,2016,14
WOS:000375425800016,Article; Proceedings Paper,2016,0
WOS:000375609900048,Article,2016,89
WOS:000375799200035,Article,2016,1
WOS:000375855500085,Article,2016,8
WOS:000375861300001,Review,2016,10
WOS:000375861300004,Article,2016,4
WOS:000375861300014,Article,2016,22
WOS:000375885400020,Article,2016,12
WOS:000375895400002,Article,2016,1
WOS:000376049500012,Article; Proceedings Paper,2016,1
WOS:000376093800016,Article,2016,4
WOS:000376144400008,Review,2016,0
WOS:000376196700010,Article,2016,26
WOS:000376200300003,Article,2016,7
WOS:000376224700019,Article,2016,10
WOS:000376279900001,Article,2016,2
WOS:000376279900004,Article,2016,3
WOS:000376279900029,Article,2016,3
WOS:000376279900032,Article,2016,4
WOS:000376451900010,Article,2016,2
WOS:000376488400003,Article,2016,22
WOS:000376557400008,Review,2016,36
WOS:000376600800021,Article,2016,21
WOS:000376600800026,Article,2016,20
WOS:000376600800035,Article,2016,13
WOS:000376647800025,Article,2016,49
WOS:000376670800003,Article,2016,2
WOS:000376670800006,Article,2016,4
WOS:000376670800013,Article,2016,5
WOS:000376679900025,Article,2016,2
WOS:000376834600005,Article,2016,19
WOS:000376834600010,Article,2016,35
WOS:000377024000015,Article,2016,3
WOS:000377107600009,Article,2016,2
WOS:000377205000019,Article,2016,6
WOS:000377205000021,Article; Proceedings Paper,2016,2
WOS:000377220200003,Article,2016,11
WOS:000377229600010,Article,2016,6
WOS:000377266400013,Review,2016,10
WOS:000377365800016,Article,2016,1
WOS:000377403600001,Article,2016,13
WOS:000377403600005,Article,2016,12
WOS:000377645200034,Proceedings Paper,2016,0
WOS:000377709000033,Article,2016,8
WOS:000377709500040,Article,2016,11
WOS:000377727800005,Article,2016,3
WOS:000377740000004,Article,2016,4
WOS:000377755300026,Proceedings Paper,2016,1
WOS:000377770400002,Article,2016,0
WOS:000377770600006,Editorial Material,2016,0
WOS:000377901300011,Article,2016,34
WOS:000378074200031,Article,2016,27
WOS:000378183100012,Article,2016,11
WOS:000378285200014,Article,2016,1
WOS:000378441000016,Article,2016,51
WOS:000378461100007,Article,2016,11
WOS:000378521600002,Article,2016,13
WOS:000378571200005,Article,2016,10
WOS:000378571200007,Article,2016,8
WOS:000378571900005,Article,2016,0
WOS:000378571900011,Article,2016,0
WOS:000378586800004,Article,2016,23
WOS:000378723000005,Article,2016,38
WOS:000378740000012,Article,2016,8
WOS:000378740700001,Article,2016,3
WOS:000378818800003,Article,2016,9
WOS:000379004200009,Article,2016,5
WOS:000379039300020,Article,2016,11
WOS:000379042600016,Article,2016,4
WOS:000379181600002,Article,2016,10
WOS:000379218400006,Article,2016,7
WOS:000379514400005,Article,2016,1
WOS:000379560500065,Article,2016,14
WOS:000379560500083,Article,2016,5
WOS:000379584700020,Article,2016,11
WOS:000379610100020,Article,2016,15
WOS:000379618400006,Article,2016,0
WOS:000379636200002,Article,2016,15
WOS:000379663500001,Article,2016,4
WOS:000379716000002,Article,2016,1
WOS:000379796400036,Article,2016,3
WOS:000379834900005,Article,2016,5
WOS:000380034600006,Article,2016,26
WOS:000380076800001,Review,2016,100
WOS:000380113800030,Article,2016,25
WOS:000380262000016,Article,2016,3
WOS:000380354000028,Article,2016,15
WOS:000380364100006,Article,2016,14
WOS:000380411900012,Article,2016,4
WOS:000380419100004,Article,2016,2
WOS:000380421300005,Article,2016,3
WOS:000380695800001,Article,2016,1
WOS:000380742300033,Article,2016,2
WOS:000380813700002,Article,2016,0
WOS:000381017700006,Article,2016,17
WOS:000381104100001,Article,2016,12
WOS:000381149100007,Article,2016,7
WOS:000381264700007,Article,2016,5
WOS:000381264700008,Article,2016,5
WOS:000381293200018,Article,2016,6
WOS:000381478300002,Article,2016,4
WOS:000381530600084,Article,2016,13
WOS:000381543400020,Article,2016,25
WOS:000381653900020,Article,2016,4
WOS:000381653900028,Article,2016,8
WOS:000381656600052,Article,2016,23
WOS:000381656600054,Article,2016,22
WOS:000381680300014,Article,2016,8
WOS:000381724700022,Proceedings Paper,2016,0
WOS:000381724700023,Proceedings Paper,2016,0
WOS:000381724700025,Proceedings Paper,2016,0
WOS:000381724700027,Proceedings Paper,2016,1
WOS:000381725300001,Article,2016,1
WOS:000381734900040,Proceedings Paper,2016,0
WOS:000381734900069,Proceedings Paper,2016,0
WOS:000381882400044,Proceedings Paper,2016,0
WOS:000381933000019,Proceedings Paper,2016,5
WOS:000382011600015,Article,2016,13
WOS:000382044300001,Article,2016,2
WOS:000382407900001,Review,2016,4
WOS:000382410300002,Article,2016,16
WOS:000382412200001,Article,2016,28
WOS:000382412200013,Article,2016,38
WOS:000382412200040,Article,2016,12
WOS:000382412200043,Article,2016,14
WOS:000382447800089,Article,2016,7
WOS:000382595600001,Article,2016,20
WOS:000382670500004,Article,2016,13
WOS:000382670500005,Article,2016,25
WOS:000382670500007,Article; Proceedings Paper,2016,4
WOS:000382670500008,Article,2016,13
WOS:000382670500009,Article; Proceedings Paper,2016,0
WOS:000382670500016,Article,2016,1
WOS:000382861400012,Article,2016,4
WOS:000382969600006,Article,2016,2
WOS:000383004700047,Article,2016,8
WOS:000383009700039,Article,2016,2
WOS:000383013800019,Proceedings Paper,2016,0
WOS:000383139700002,Article,2016,24
WOS:000383145800013,Article,2016,6
WOS:000383145800017,Article,2016,1
WOS:000383222300067,Proceedings Paper,2016,0
WOS:000383222301167,Proceedings Paper,2016,0
WOS:000383222302024,Proceedings Paper,2016,3
WOS:000383222302134,Proceedings Paper,2016,0
WOS:000383222302139,Proceedings Paper,2016,0
WOS:000383222303052,Proceedings Paper,2016,5
WOS:000383222304060,Proceedings Paper,2016,1
WOS:000383222305062,Proceedings Paper,2016,0
WOS:000383222306037,Proceedings Paper,2016,4
WOS:000383293600022,Article,2016,12
WOS:000383300100001,Article,2016,10
WOS:000383300100011,Article,2016,13
WOS:000383412100051,Article,2016,63
WOS:000383525100002,Article,2016,11
WOS:000383525100013,Article,2016,29
WOS:000383525100020,Article,2016,13
WOS:000383525100057,Article,2016,10
WOS:000383805200013,Article,2016,1
WOS:000383821400007,Article,2016,22
WOS:000383886100014,Article; Proceedings Paper,2016,4
WOS:000383911800010,Article,2016,4
WOS:000384087900025,Article,2016,12
WOS:000384087900031,Article,2016,22
WOS:000384264300039,Article,2016,9
WOS:000384297100018,Article,2016,6
WOS:000384332000012,Article,2016,11
WOS:000384383900004,Article,2016,43
WOS:000384414300001,Article,2016,19
WOS:000384414300004,Article,2016,2
WOS:000384415800013,Article,2016,20
WOS:000384415800014,Article,2016,1
WOS:000384444400010,Article,2016,44
WOS:000384444400011,Article; Proceedings Paper,2016,10
WOS:000384626700024,Article,2016,11
WOS:000384626700027,Article,2016,0
WOS:000384643000073,Proceedings Paper,2016,0
WOS:000384643000077,Proceedings Paper,2016,1
WOS:000384643000079,Proceedings Paper,2016,0
WOS:000384674100001,Article,2016,8
WOS:000384677100011,Article,2016,27
WOS:000384781900005,Article,2016,1
WOS:000384783900001,Article,2016,11
WOS:000384827300002,Article,2016,77
WOS:000384843200006,Article,2016,3
WOS:000385060800014,Article,2016,2
WOS:000385144500018,Article,2016,6
WOS:000385215200015,Article,2016,7
WOS:000385252200004,Article,2016,7
WOS:000385276600025,Proceedings Paper,2016,2
WOS:000385497500001,Article,2016,2
WOS:000385606100021,Article,2017,3
WOS:000385851100010,Article,2016,12
WOS:000385869000001,Article,2016,6
WOS:000385871700001,Article,2016,4
WOS:000385997300035,Proceedings Paper,2016,0
WOS:000386009300009,Article,2016,3
WOS:000386030700007,Article; Proceedings Paper,2016,2
WOS:000386067400012,Article,2016,37
WOS:000386074100014,Article,2016,2
WOS:000386100000044,Article,2016,4
WOS:000386312600002,Article,2016,0
WOS:000386312600012,Article,2016,3
WOS:000386356500018,Article,2016,0
WOS:000386398900012,Proceedings Paper,2016,0
WOS:000386402300001,Review,2016,42
WOS:000386515800002,Proceedings Paper,2016,5
WOS:000386658300368,Proceedings Paper,2016,0
WOS:000386718900030,Proceedings Paper,2016,1
WOS:000386721800074,Proceedings Paper,2016,1
WOS:000386752400006,Article,2016,12
WOS:000386772200003,Article,2016,6
WOS:000386772200009,Article,2016,0
WOS:000386772200011,Article,2016,0
WOS:000386772200013,Article,2016,7
WOS:000386772200014,Article,2016,3
WOS:000386858800005,Article; Proceedings Paper,2016,2
WOS:000386858800022,Article,2016,15
WOS:000386869300052,Article,2016,27
WOS:000387140500013,Article,2016,17
WOS:000387187800238,Proceedings Paper,2016,0
WOS:000387187800264,Proceedings Paper,2016,1
WOS:000387187800364,Proceedings Paper,2016,2
WOS:000387198400051,Article,2016,0
WOS:000387200900001,Review,2016,17
WOS:000387338000005,Article,2016,1
WOS:000387338000008,Article,2016,12
WOS:000387338000019,Article,2016,8
WOS:000387481800009,Proceedings Paper,2016,0
WOS:000387481800011,Proceedings Paper,2016,0
WOS:000387481800012,Proceedings Paper,2016,0
WOS:000387481800268,Proceedings Paper,2016,0
WOS:000387495000114,Proceedings Paper,2016,4
WOS:000387511400004,Editorial Material,2016,0
WOS:000387517700105,Proceedings Paper,2016,0
WOS:000387592300037,Article,2016,16
WOS:000387625400010,Article,2016,4
WOS:000387625400044,Article,2016,7
WOS:000387625400049,Article,2016,23
WOS:000387625400052,Article,2016,17
WOS:000387625400066,Article,2016,16
WOS:000387625400068,Article,2016,7
WOS:000387668400003,Article,2016,27
WOS:000387753100045,Proceedings Paper,2016,0
WOS:000387753400008,Article; Proceedings Paper,2016,0
WOS:000387763900025,Article,2016,5
WOS:000387771200020,Proceedings Paper,2016,0
WOS:000387771200028,Proceedings Paper,2016,0
WOS:000387806300023,Article,2016,7
WOS:000388013300005,Article,2016,16
WOS:000388048400009,Article,2016,5
WOS:000388289100138,Proceedings Paper,2016,0
WOS:000388295500034,Article,2016,1
WOS:000388373801078,Proceedings Paper,2016,2
WOS:000388373802046,Proceedings Paper,2016,2
WOS:000388373803074,Proceedings Paper,2016,1
WOS:000388374900036,Proceedings Paper,2016,3
WOS:000388374900060,Proceedings Paper,2016,1
WOS:000388374902035,Proceedings Paper,2016,2
WOS:000388374902089,Proceedings Paper,2016,0
WOS:000388374902094,Proceedings Paper,2016,5
WOS:000388376105113,Proceedings Paper,2016,2
WOS:000388480400029,Proceedings Paper,2016,0
WOS:000388480400030,Proceedings Paper,2016,0
WOS:000388543700005,Article,2016,11
WOS:000388543700021,Article,2016,38
WOS:000388543700022,Article,2016,2
WOS:000388543700039,Article,2016,8
WOS:000388543700046,Article,2016,10
WOS:000388544400007,Article,2017,35
WOS:000388591400011,Article,2016,5
WOS:000388591400012,Article,2016,3
WOS:000388591400013,Article,2016,12
WOS:000388591400019,Article,2016,4
WOS:000388623200001,Review,2016,73
WOS:000388738600013,Article,2016,15
WOS:000388785700011,Article,2017,5
WOS:000388800700003,Article,2016,31
WOS:000388809500102,Proceedings Paper,2016,3
WOS:000388809500108,Proceedings Paper,2016,0
WOS:000388809501035,Proceedings Paper,2016,1
WOS:000388809502008,Proceedings Paper,2016,0
WOS:000388809503079,Proceedings Paper,2016,0
WOS:000388809504012,Proceedings Paper,2016,0
WOS:000388922100003,Article,2016,33
WOS:000388950600001,Article,2016,6
WOS:000388950600003,Article,2016,14
WOS:000388980300001,Article,2016,56
WOS:000389021400038,Proceedings Paper,2016,0
WOS:000389087800035,Article,2017,2
WOS:000389087900011,Review,2016,57
WOS:000389087900040,Article,2016,7
WOS:000389087900048,Article,2016,1
WOS:000389102500112,Article,2016,2
WOS:000389148800006,Article,2016,0
WOS:000389150900078,Article,2016,8
WOS:000389283900002,Article,2017,3
WOS:000389283900003,Article,2017,4
WOS:000389283900017,Article,2017,20
WOS:000389285700001,Article,2016,14
WOS:000389285700008,Article,2016,10
WOS:000389390000006,Article,2017,5
WOS:000389484800296,Proceedings Paper,2016,0
WOS:000389510300090,Proceedings Paper,2016,0
WOS:000389513200003,Proceedings Paper,2016,0
WOS:000389513200004,Proceedings Paper,2016,5
WOS:000389513200017,Proceedings Paper,2016,1
WOS:000389513200018,Proceedings Paper,2016,2
WOS:000389513200019,Proceedings Paper,2016,1
WOS:000389513200020,Proceedings Paper,2016,1
WOS:000389513200021,Proceedings Paper,2016,3
WOS:000389513200026,Proceedings Paper,2016,1
WOS:000389513200027,Proceedings Paper,2016,4
WOS:000389513200028,Proceedings Paper,2016,0
WOS:000389513200030,Proceedings Paper,2016,3
WOS:000389513200037,Proceedings Paper,2016,2
WOS:000389513200072,Proceedings Paper,2016,0
WOS:000389513200074,Proceedings Paper,2016,0
WOS:000389513200107,Proceedings Paper,2016,4
WOS:000389513200113,Proceedings Paper,2016,1
WOS:000389513200114,Proceedings Paper,2016,0
WOS:000389513200115,Proceedings Paper,2016,1
WOS:000389513200116,Proceedings Paper,2016,3
WOS:000389513200148,Proceedings Paper,2016,0
WOS:000389513200151,Proceedings Paper,2016,2
WOS:000389513200152,Proceedings Paper,2016,1
WOS:000389521900004,Article; Book Chapter,2016,2
WOS:000389533200019,Article,2016,8
WOS:000389556800038,Article,2017,8
WOS:000389730800049,Article,2016,7
WOS:000389905100042,Proceedings Paper,2016,0
WOS:000389907800004,Article,2016,1
WOS:000390016900001,Article,2016,0
WOS:000390024700009,Article,2016,17
WOS:000390025300016,Article,2016,1
WOS:000390026300001,Article,2016,13
WOS:000390067500014,Article,2016,11
WOS:000390074500002,Article,2016,10
WOS:000390097500013,Proceedings Paper,2016,0
WOS:000390097500014,Proceedings Paper,2016,0
WOS:000390235900003,Article,2016,4
WOS:000390257400106,Proceedings Paper,2016,0
WOS:000390343500003,Article,2016,6
WOS:000390417000109,Proceedings Paper,2016,0
WOS:000390509200006,Review,2016,77
WOS:000390512100011,Article,2016,15
WOS:000390557100002,Article,2016,3
WOS:000390578900083,Proceedings Paper,2016,1
WOS:000390614600013,Article,2016,20
WOS:000390624600006,Article,2017,10
WOS:000390626000035,Article,2016,26
WOS:000390690700205,Proceedings Paper,2016,1
WOS:000390721900004,Article,2016,0
WOS:000390749103047,Proceedings Paper,2016,4
WOS:000390795100005,Article,2016,2
WOS:000390845400011,Proceedings Paper,2016,16
WOS:000390845400024,Proceedings Paper,2016,4
WOS:000390845400032,Proceedings Paper,2016,2
WOS:000390868800001,Article,2016,0
WOS:000390881400005,Article,2016,1
WOS:000390914900043,Proceedings Paper,2016,0
WOS:000390914900119,Proceedings Paper,2016,0
WOS:000390988500004,Article,2016,4
WOS:000390988800002,Article,2016,1
WOS:000390989500001,Article,2016,7
WOS:000391073600212,Meeting Abstract,2016,0
WOS:000391228600019,Proceedings Paper,2016,0
WOS:000391228600077,Proceedings Paper,2016,1
WOS:000391229900039,Proceedings Paper,2016,2
WOS:000391238500056,Proceedings Paper,2016,0
WOS:000391330900122,Proceedings Paper,2016,0
WOS:000391345800010,Article,2016,0
WOS:000391499200023,Proceedings Paper,2016,0
WOS:000391618000006,Article,2016,8
WOS:000391726800015,Proceedings Paper,2016,0
WOS:000391780500020,Article,2016,3
WOS:000391897200081,Article,2017,16
WOS:000392013000116,Article,2016,8
WOS:000392092300030,Article,2016,12
WOS:000392264400034,Proceedings Paper,2017,0
WOS:000392267200015,Proceedings Paper,2016,0
WOS:000392270200047,Proceedings Paper,2016,0
WOS:000392270700072,Proceedings Paper,2016,1
WOS:000392298400001,Article,2017,55
WOS:000392325500018,Proceedings Paper,2016,0
WOS:000392360800008,Proceedings Paper,2016,1
WOS:000392400900013,Proceedings Paper,2017,0
WOS:000392400900029,Proceedings Paper,2017,0
WOS:000392400900144,Proceedings Paper,2017,2
WOS:000392511000005,Article,2017,2
WOS:000392511000013,Article,2017,1
WOS:000392511000028,Article; Proceedings Paper,2017,4
WOS:000392511000030,Article; Proceedings Paper,2017,5
WOS:000392568100011,Article,2017,4
WOS:000392692200011,Proceedings Paper,2016,3
WOS:000392692200039,Proceedings Paper,2016,2
WOS:000392692200057,Proceedings Paper,2016,0
WOS:000392692200064,Proceedings Paper,2016,3
WOS:000392692200067,Proceedings Paper,2016,1
WOS:000392692200068,Proceedings Paper,2016,1
WOS:000392692200075,Proceedings Paper,2016,2
WOS:000392692200076,Proceedings Paper,2016,5
WOS:000392692200078,Proceedings Paper,2016,0
WOS:000392692200080,Proceedings Paper,2016,1
WOS:000392692200081,Proceedings Paper,2016,0
WOS:000392692200083,Proceedings Paper,2016,2
WOS:000392692200087,Proceedings Paper,2016,0
WOS:000392692300015,Proceedings Paper,2016,1
WOS:000392695100055,Proceedings Paper,2016,1
WOS:000392695100068,Proceedings Paper,2016,0
WOS:000392712400020,Article,2017,11
WOS:000392723400092,Proceedings Paper,2016,0
WOS:000392723400094,Proceedings Paper,2016,0
WOS:000392723400099,Proceedings Paper,2016,0
WOS:000392723400100,Proceedings Paper,2016,0
WOS:000392734700210,Proceedings Paper,2016,0
WOS:000392769400042,Article,2017,7
WOS:000392791200013,Article,2017,14
WOS:000392792500007,Article,2017,3
WOS:000392878200008,Article; Proceedings Paper,2016,8
WOS:000393011700001,Article,2017,2
WOS:000393011700005,Article,2017,5
WOS:000393015000096,Article,2017,10
WOS:000393018300024,Article,2017,30
WOS:000393040200020,Article,2016,15
WOS:000393064700001,Article,2017,5
WOS:000393113300006,Article,2016,4
WOS:000393113300009,Article,2016,1
WOS:000393113300012,Article,2016,9
WOS:000393179500001,Proceedings Paper,2016,11
WOS:000393179500013,Proceedings Paper,2016,0
WOS:000393179500039,Proceedings Paper,2016,0
WOS:000393179500067,Proceedings Paper,2016,0
WOS:000393179500069,Proceedings Paper,2016,0
WOS:000393179500083,Proceedings Paper,2016,1
WOS:000393179500114,Proceedings Paper,2016,1
WOS:000393179500137,Proceedings Paper,2016,1
WOS:000393179500247,Proceedings Paper,2016,0
WOS:000393179500254,Proceedings Paper,2016,0
WOS:000393179500258,Proceedings Paper,2016,0
WOS:000393179500300,Proceedings Paper,2016,1
WOS:000393179500310,Proceedings Paper,2016,1
WOS:000393179500312,Proceedings Paper,2016,0
WOS:000393179500320,Proceedings Paper,2016,1
WOS:000393179500335,Proceedings Paper,2016,0
WOS:000393179500341,Proceedings Paper,2016,0
WOS:000393179500361,Proceedings Paper,2016,0
WOS:000393179500395,Proceedings Paper,2016,0
WOS:000393195100002,Article,2016,5
WOS:000393248500001,Review,2017,59
WOS:000393310800043,Proceedings Paper,2016,0
WOS:000393334200006,Article,2016,2
WOS:000393381800027,Article,2016,0
WOS:000393524800003,Article,2017,11
WOS:000393524800021,Article,2017,2
WOS:000393633700018,Article,2017,10
WOS:000393646300080,Article,2017,7
WOS:000393707600024,Article,2017,15
WOS:000393727300030,Article,2017,7
WOS:000393727300097,Article,2017,7
WOS:000393802700010,Article,2017,0
WOS:000393844100038,Article,2016,5
WOS:000393862800033,Article,2017,5
WOS:000394039500009,Article,2017,2
WOS:000394061800031,Article,2017,10
WOS:000394170600001,Article,2017,24
WOS:000394345700008,Article,2017,16
WOS:000394426400079,Article,2017,15
WOS:000394434000020,Article,2017,7
WOS:000394482700005,Article,2017,5
WOS:000394483600016,Article,2017,15
WOS:000394483600044,Article,2017,22
WOS:000394521100001,Article,2016,4
WOS:000394522900022,Article,2017,62
WOS:000394527700012,Article,2017,4
WOS:000394528800012,Article,2017,18
WOS:000394579500011,Article,2017,31
WOS:000394636100001,Article,2017,8
WOS:000394636100026,Article,2017,33
WOS:000394636100028,Article,2017,9
WOS:000394723300068,Article,2017,1
WOS:000394806600003,Article,2016,0
WOS:000394812600002,Article,2016,0
WOS:000394813200003,Article,2016,0
WOS:000394813200004,Article,2016,0
WOS:000394815800002,Article,2016,2
WOS:000394817400001,Review,2016,11
WOS:000394825200001,Article,2017,7
WOS:000394859300002,Article,2017,3
WOS:000394866800001,Article,2017,11
WOS:000394868300002,Article,2017,14
WOS:000394954000001,Article,2017,12
WOS:000394971100005,Article,2017,0
WOS:000394987000003,Article,2017,3
WOS:000395102400005,Article,2017,6
WOS:000395165900046,Article,2017,17
WOS:000395187100002,Article,2017,2
WOS:000395220100008,Article,2017,1
WOS:000395232900001,Article,2017,5
WOS:000395374000012,Article,2017,0
WOS:000395411200001,Article,2017,0
WOS:000395488900051,Letter,2017,7
WOS:000395517100012,Article,2017,1
WOS:000395517100015,Article,2017,0
WOS:000395517100018,Article,2017,1
WOS:000395517100027,Article,2017,3
WOS:000395523400019,Article,2017,4
WOS:000395553300013,Article,2017,0
WOS:000395555300013,Article,2017,16
WOS:000395555300014,Article,2017,3
WOS:000395555300015,Article; Proceedings Paper,2017,17
WOS:000395601300012,Article,2017,31
WOS:000395741800023,Article,2017,5
WOS:000395757300003,Article,2017,22
WOS:000395824800039,Editorial Material,2016,0
WOS:000395854800002,Article,2017,14
WOS:000395902000046,Article,2017,25
WOS:000395960200001,Article,2017,9
WOS:000395960200026,Article,2017,5
WOS:000395980500009,Article,2017,123
WOS:000396238700014,Article,2017,10
WOS:000396351600001,Review,2017,89
WOS:000396397500004,Article,2017,9
WOS:000396744600002,Article,2016,14
WOS:000396787500002,Article,2017,3
WOS:000396946700002,Article,2017,0
WOS:000396946700011,Article,2017,27
WOS:000396946700020,Article,2017,13
WOS:000397214800007,Article,2017,0
WOS:000397215600006,Article,2017,6
WOS:000397215600008,Article,2017,1
WOS:000397215600010,Article,2017,0
WOS:000397313600002,Article,2017,4
WOS:000397355900004,Article,2017,10
WOS:000397356400028,Article,2017,22
WOS:000397356400044,Review,2017,10
WOS:000397359300003,Article,2017,19
WOS:000397361000001,Article,2017,13
WOS:000397419900005,Article,2017,10
WOS:000397455600002,Article,2017,0
WOS:000397458900140,Article,2017,19
WOS:000397458900141,Article,2017,18
WOS:000397596200013,Article,2016,1
WOS:000397696300015,Article,2017,11
WOS:000397698900022,Article,2017,7
WOS:000397770200057,Article,2017,35
WOS:000397813300003,Article,2017,2
WOS:000397872500085,Article,2017,1
WOS:000398062500005,Article,2017,6
WOS:000398064800013,Article,2017,3
WOS:000398071700021,Article,2017,1
WOS:000398119100002,Article,2017,1
WOS:000398146600001,Article,2017,1
WOS:000398480400001,Article,2017,6
WOS:000398508300001,Article,2017,1
WOS:000398530000006,Article,2017,2
WOS:000398530000012,Article,2017,6
WOS:000398530000020,Article,2017,5
WOS:000398902000012,Article,2016,2
WOS:000398937900039,Article; Proceedings Paper,2017,1
WOS:000399203000174,Proceedings Paper,2017,0
WOS:000399339900052,Proceedings Paper,2017,0
WOS:000399357700115,Article,2017,7
WOS:000399457100047,Proceedings Paper,2016,0
WOS:000399493000005,Article,2017,1
WOS:000399610800046,Article,2017,17
WOS:000399612800004,Article,2017,7
WOS:000399628600001,Article,2017,17
WOS:000399890600004,Article,2017,5
WOS:000399890600021,Article,2017,0
WOS:000399893000008,Article,2017,5
WOS:000399893000016,Article,2017,3
