Author,PublicationYear,CountPubs
"GARCIA COSTAS, AMAYA",2016,1
"GARCIA MARTIN, HECTOR",2016,1
"GARCIA MARTIN, HECTOR",2017,5
"GARCIA MARTIN, HECTOR",2018,1
"GARCIA MARTIN, HECTOR",2019,4
"GARCIA, ANDRES J",2018,1
"GARCIA, CAROLINA",2018,1
"GARCIA, EMMA M",2019,1
"GARCIA, HERNAN G",2016,1
"GARCIA, HERNAN G",2020,1
"GARCIA, JAIME A",2020,1
"GARCIA, JOSE L",2017,1
"GARCIA, JOSE L",2018,1
"GARCIA, KEVIN",2016,1
"GARCIA, PAULO A",2017,1
"GARCIA, SERGIO",2019,2
"GARCIA, SERGIO",2020,1
"GARCIA, WHITNEY",2019,1
"GARCIA-ALLES, LUIS F",2018,1
"GARCIA-CARPINTERO, VICTOR",2019,1
"GARCIA-CARPINTERO, VICTOR",2020,1
"GARCIA-DIAZ, CLAUDIA",2016,1
"GARCIA-ECHAURI, SERGIO A",2017,1
"GARCIA-ESTRADA, CARLOS",2020,1
"GARCIA-GARCERA, MARC",2019,1
"GARCIA-GRANADOS, RAUL",2018,1
"GARCIA-GUTIERREZ, CORAL",2019,1
"GARCIA-MARTIN, JUAN ANTONIO",2016,1
"GARCIA-MAURINO, SOFIA M",2017,1
"GARCIA-NAFRIA, JAVIER",2019,1
"GARCIA-OJALVO, JORDI",2016,1
"GARCIA-RAMALLO, EVA",2020,1
"GARCIA-REYERO, NATÃƒÆ’Ã‚Â LIA",2020,1
"GARCIA-RUIZ, EVA",2016,2
"GARCIA-RUIZ, EVA",2018,1
"GARCIA-RUIZ, EVA",2019,1
"GARCIA-SORIANO, DANIELA A",2018,1
"GARDERES, JOHAN",2019,1
"GARDINER, J M",2016,1
"GARDINER, JOHN M",2017,1
"GARDNER, ANDREW F",2018,1
"GARDNER, JENNIFER M",2019,1
"GARDNER, RICHARD G",2016,1
"GAREAU, DAVID",2016,1
"GARENNE, DAVID",2016,1
"GARENNE, DAVID",2018,1
"GARENNE, DAVID",2019,2
"GARG, ABHROOP",2018,1
"GARG, SHIVANI",2018,1
"GARGOURI, MAHMOUD",2016,1
"GARIBAY-ORIJEL, CLAUDIO",2018,1
"GARNEAU-TSODIKOVA, SYLVIE",2018,1
"GARRIDO, DANIEL",2019,1
"GARRIGUES, SANDRA",2017,1
"GARST, ANDREW D",2016,2
"GARST, ANDREW D",2017,1
"GARST, ANDREW D",2018,1
"GARTLAND, JILL S",2018,1
"GARTLAND, KEVAN M A",2018,1
"GARTNER, ZEV J",2016,1
"GARTNER, ZEV J",2017,2
"GARYALI, SANJOG",2016,1
"GARZILLI, IMMACOLATA",2018,1
"GARZONI, FREDERIC",2016,1
"GASSAWAY, BRANDON",2016,1
"GASSER, BRIGITTE",2017,2
"GASSER, BRIGITTE",2018,2
"GASSER, BRIGITTE",2019,2
"GASSLER, THOMAS",2017,1
"GASSLER, THOMAS",2019,1
"GATES, LEAH A",2019,1
"GATTO, FRANCESCO",2017,1
"GAUCHER, SARA P",2016,1
"GAUDREAU, LUC",2016,1
"GAUT, NATHANIEL J",2019,1
"GAUT, NATHANIEL J",2020,1
"GAUTHIER, JEFF",2018,1
"GAUTHIER, LAURA",2017,1
"GAUTHIER, SAMUEL",2016,1
"GAUTTAM, RAHUL",2020,1
"GAVALA, HARIKLIA N",2017,1
"GAVETTE, JESSE V",2016,1
"GAWENDA, NIKLAS",2018,1
"GAWENDA, NIKLAS",2019,1
"GAWIN, AGNIESZKA",2019,1
"GAYEN, ANURAN K",2019,1
"GAYET, RAPHAÃƒÆ’Ã‚Â«L V",2016,1
"GAYNOR, ANDREW S",2019,1
"GAZIT, EHUD",2019,1
"GAZZOLA, GIANLUCA",2018,1
"GE, CHANG",2019,1
"GE, JUN",2019,1
"GE, MEI",2016,1
"GE, TIANJIA J",2018,1
"GE, XUDONG",2020,1
"GE, ZHIFEI",2017,1
"GEARY, CODY W",2016,1
"GEARY, CODY W",2017,1
"GEARY, CODY W",2018,1
"GEDDES, BARNEY A",2016,1
"GEDDES, BARNEY A",2018,1
"GEDDES, BARNEY A",2020,1
"GEFFENEY, SHANA L",2019,1
"GEHRIG, LINDSEY",2017,1
"GEHRING, ALEXANDRA M",2018,1
"GEHRKE, LEE",2016,1
"GEHRKE, LEE",2020,1
"GEHRMANN, THIES",2020,1
"GEIÃƒÆ’Ã…Â¸LER, KATHARINA",2017,1
"GEIER, BRIAN A",2019,1
"GEIER, MARTINA",2017,1
"GEIER, MARTINA",2018,1
"GEIER, MARTINA",2019,1
"GEIGER, BENJAMIN",2016,1
"GEIGER, SOPHIE",2016,1
"GEISELMANN, JOHANNES",2016,1
"GEL, MURAT",2020,1
"GELDART, KATHRYN G",2018,1
"GELDERBLOM, HANS R",2018,1
"GELLER, STEPHANIE H",2019,2
"GELVIN, STANTON B",2016,1
"GELVIN, STANTON B",2017,1
"GEMMELL, NEIL J",2016,1
"GEMPERLEIN, KATJA",2017,1
"GENDASZEWSKA-DARMACH, EDYTA",2016,1
"GENDRAULT, YVES",2016,1
"GENDRAULT, YVES",2017,1
"GENEE, HANS J",2016,1
"GENEE, HANS JASPER",2017,1
"GENEE, HANS JASPER",2018,2
"GENEREAUX, JULIE",2019,1
"GENEROUS, NICHOLAS",2019,1
"GENG, BINAN",2018,1
"GENG, BINAN",2019,1
"GENG, FEI",2018,1
"GENG, MING",2019,1
"GENG, PENG",2019,1
"GENG, XIUXIU",2018,1
"GENG, ZILONG",2018,1
"GENILLOUD, OLGA",2019,1
"GENNARI, JOHN H",2016,2
"GENNARI, JOHN H",2018,1
"GENNARI, JOHN H",2019,2
"GENSCH, THOMAS",2016,1
"GEOGHEGAN, JEMMA L",2019,1
"GEORGANTEA, PANAGIOTA",2016,1
"GEORGE, ANTHE",2018,1
"GEORGE, ATHIRA",2016,1
"GEORGE, DALTON R",2019,1
"GEORGE, JESTIN",2019,1
"GEORGE, JESTIN",2020,1
"GEORGE, KEVIN W",2017,1
"GEORGE, SUSANNA",2016,1
"GEORGE, SUSANNA",2017,1
"GEORGIADIS, MILLIE M",2017,2
"GEORGIADIS, MILLIE M",2018,3
"GEORGIADIS, MILLIE M",2019,1
"GEORGIADOU, MICHAELLA",2017,1
"GEORGOPOULOU, MARIA-ELENI",2020,1
"GERASYMENKO, IRYNA",2019,1
"GERATHS, CHRISTIAN",2018,1
"GERBASI, VINCENT R",2018,1
"GERBEN, STACEY R",2017,1
"GERBER, GEORG K",2019,1
"GERBERICH, JILLIAN C",2018,1
"GERHARDT, KARL P",2018,1
"GERHARDT, KARL P",2019,1
"GERLACH, ELLIOT S",2018,1
"GERLAND, ULRICH",2016,1
"GERLING, THOMAS",2017,1
"GERLOFF, DIETLIND L",2016,1
"GERLT, JOHN A",2017,1
"GERMAN, SERGEI",2018,1
"GERMANN, ANNA T",2020,1
"GERN, R M M",2017,1
"GERNGROSS, DANIEL",2016,1
"GERNGROSS, DANIEL",2019,2
"GERSBACH, CHARLES A",2017,3
"GERSHENSON, CARLOS",2018,1
"GERSTMANS, HANS",2017,1
"GERWICK, LENA",2016,1
"GERWICK, WILLIAM H",2016,1
"GESCHER, JOHANNES",2020,1
"GESELL SALAZAR, MANUELA",2019,1
"GESELL SALAZAR, MANUELA",2020,1
"GETZ, LANDON J",2018,2
"GEUTHER, BRIAN Q",2019,1
"GEVAERT, KRIS",2018,1
"GEYER, C RONALD",2018,1
"GEYSENS, KATELIJNE",2020,1
"GG, CHEN",2016,1
"GHAFOOR, DLZAR D",2016,1
"GHAG, SIDDHESH B",2019,1
"GHALY, TIMOTHY M",2019,1
"GHAMSARI, LILA",2016,1
"GHANAT BARI, MEHRAB",2018,1
"GHANSHYAM, MANJARI J",2020,1
"GHEORGHE, MARIAN",2017,1
"GHERARDI, ALESSANDRO",2016,1
"GHERMAN, IULIA",2018,2
"GHINI, VERONICA",2018,1
"GHIRAN, IONITA C",2019,1
"GHODASARA, AMAR N",2018,1
"GHODASRA, MONIL",2018,1
"GHOGARE, RISHIKESH",2019,1
"GHOSH, INDRO NEIL",2016,1
"GHOSH, INDRO NEIL",2018,1
"GHOSH, INDRO NEIL",2020,1
"GHOSH, KINGSHUK",2017,1
"GHOSH, KINGSHUK",2020,1
"GIACOBINO, ARIANE",2016,1
"GIANGRANDE, PALOMA H",2016,1
"GIANGRECO, GIOVANNI",2018,4
"GIANNI, EDOARDO",2016,1
"GIANNONE, RICHARD J",2017,1
"GIANNONE, RICHARD J",2019,1
"GIANNONE, RICHARD J",2020,1
"GIANOGLIO, SILVIA",2019,1
"GIANSANTI, ANDREA",2017,1
"GIAVITTO, JEAN-LOUIS",2016,1
"GIBBS, CHELSEA",2017,1
"GIBSON, BRIAN",2019,1
"GIBSON, DANIEL G",2016,1
"GIBSON, DANIEL G",2017,2
"GIBSON, DANIEL G",2018,1
"GIBSON, MATTHEW I",2018,1
"GIBSON, SUZANNE J",2017,1
"GIBSON, SUZANNE J",2018,1
"GIBSON, TRAVIS",2019,1
"GIDDA, SATINDER K",2016,1
"GIEÃƒÆ’Ã…Â¸ELMANN, GIDEON",2016,2
"GIELESEN, BIANCA E M",2018,1
"GIESSEN, TOBIAS W",2016,1
"GIESSEN, TOBIAS W",2019,1
"GIGLI, CARLO",2018,1
"GIGLIOLI-GUIVARC'H, N",2016,1
"GILAD, ASSAF A",2017,1
"GILAD, ASSAF A",2020,1
"GILBERT, CHARLIE",2016,1
"GILBERT, CHARLIE",2017,2
"GILBERT, CHARLIE",2018,1
"GILBERT, CHARLIE",2019,1
"GILBERT, DAVID",2017,1
"GILCREASE, EDDIE",2019,1
"GILFELLON, OWEN",2016,1
"GILL, JOHN",2016,1
"GILL, RYAN T",2016,5
"GILL, RYAN T",2017,3
"GILL, RYAN T",2018,1
"GILL, RYAN T",2020,1
"GILL, SAAR",2017,1
"GILL, SABA SHAHID",2019,1
"GILLAM, ELIZABETH M J",2016,2
"GILLAM, ELIZABETH M J",2019,1
"GILLEN, ALICE J",2018,1
"GILLEN, ALICE J",2020,1
"GILLER, KEN E",2019,1
"GILLESPIE, MICHAEL D",2018,1
"GILLINGS, MICHAEL R",2019,1
"GILLON, EMILIE",2018,1
"GILLUND, FRÃƒÆ’Ã‚Â¸YDIS",2016,1
"GILMAN, JAMES",2016,1
"GILMAN, JAMES",2019,1
"GILMORE, SEAN P",2016,1
"GIMBLE, JEFFREY",2018,1
"GIN, JENNIFER W",2019,1
"GIN, JENNIFER W",2020,1
"GIORDANO, EMANUELE",2016,1
"GIORDANO, GIULIA",2016,1
"GIORDANO, GIULIA",2018,1
"GIRALDO, DANIEL",2017,1
"GIRALDO, RAFAEL",2018,1
"GIRALDO, RAFAEL",2020,1
"GIRALDO-FONSECA, ALEJANDRO",2019,1
"GIRAULT, MATHIAS",2019,1
"GIRHARD, MARCO",2018,1
"GIRI, ASHOK P",2016,1
"GIRONA, GEMMA ESTRADA",2018,1
"GIRVAN, HAZEL M",2016,1
"GIRVAN, HAZEL M",2018,1
"GISRIEL, CHRISTOPHER",2017,1
"GITAI, ZEMER",2018,1
"GIUGGIOLI, LUCA",2020,1
"GIUNTOLI, BEATRICE",2018,1
"GIUNTOLI, BEATRICE",2019,2
"GIURANIUC, CLAUDIU V",2016,1
"GLADDEN, JOHN M",2018,1
"GLADDEN, JOHN M",2019,1
"GLADNEY, WHITNEY L",2019,1
"GLÃƒÆ’Ã‚Â©VAREC, G",2016,1
"GLASER, EVAN R",2019,1
"GLASER, JENS",2018,1
"GLASER, SAMSON",2019,1
"GLASGOW, ANUM AZAM",2017,1
"GLASGOW, EVAN M",2018,1
"GLASGOW, JEFF",2016,1
"GLASS, DAVID S",2018,1
"GLASS, JOHN I",2017,1
"GLASS, JOHN I",2019,1
"GLASS, LEON",2018,1
"GLASS, N LOUISE",2018,1
"GLASSCOCK, CAMERON J",2018,1
"GLASSEY, EMERSON",2016,1
"GLATTER, TIMO",2017,1
"GLAVAS, IOANNIS P",2016,1
"GLAVEN, SARAH",2019,1
"GLAVEN, SARAH M",2019,1
"GLAVY, JOSEPH S",2019,1
"GLEESON, PADRAIG",2016,1
"GLEESON, PADRAIG",2018,1
"GLEESON, PADRAIG",2019,1
"GLEESON, PADRAIG",2020,1
"GLEGHORN, JASON P",2019,1
"GLEIZER, SHMUEL",2019,1
"GLENNA, LELAND L",2019,1
"GLENNIE, SARAH J",2018,1
"GLERUP, CECILIE",2020,1
"GLIEDER, ANTON",2016,1
"GLIEDER, ANTON",2017,3
"GLIEDER, ANTON",2018,1
"GLIEDER, ANTON",2019,1
"GLOCK, PHILIPP",2017,1
"GLOCK, PHILIPP",2018,1
"GLOCK, PHILIPP",2019,1
"GLOECKLE, ANNA",2018,1
"GLOER, JAMES B",2016,1
"GLOTZER, SHARON C",2018,1
"GLOWACKI, BECCA ROSE",2018,1
"GLOWACKI, DAVID R",2018,1
"GLUCK-THALER, EMILE",2017,1
"GLUD, KASPER",2019,1
"GLUSHAKOVA, LYUDMYLA G",2016,1
"GLUSHAKOVA, LYUDMYLA G",2017,1
"GLUSHAKOVA, LYUDMYLA G",2018,1
"GLYKOFRYDIS, FOKION",2020,1
"GLYNN, VICTORIA M",2018,1
"GNÃƒÆ’Ã‚Â¼GGE, ROBERT",2016,1
"GO, MAYBELLE KHO",2020,1
"GO, MICHAELA",2016,1
"GOÃƒÆ’Ã‚Â±I-MORENO, ANGEL",2016,1
"GOBBO, PIERANGELO",2017,1
"GOBLE, CAROLE",2016,1
"GODA, KEISUKE",2019,1
"GODA, KEISUKE",2020,1
"GODWIN, JOHN",2019,1
"GOEBEL, UTA",2017,1
"GOEBEL, UTA",2019,1
"GOEL, RAMESH",2019,1
"GOELZER, ANNE",2017,1
"GOENRICH, JURI",2019,1
"GOENTORO, LEA",2017,1
"GOEPFRICH, KERSTIN",2018,2
"GOEPFRICH, KERSTIN",2019,1
"GOEPFRICH, KERSTIN",2020,2
"GOERING, ANTHONY W",2016,1
"GOERINGER, H ULRICH",2019,1
"GOERS, LISA",2016,1
"GOERS, ROLAND",2016,1
"GOESMANN, ALEXANDER",2017,1
"GOETZ, HANAH",2019,2
"GOETZMANN, BRUNO",2020,1
"GOEY, CHER HUI",2016,1
"GOGOLOK, SABINE",2016,1
"GOGONEA, VALENTIN",2019,1
"GOH, AMELIA",2016,1
"GOH, VALERIE",2018,1
"GOHIL, NISARG",2017,1
"GOHIL, NISARG",2018,1
"GOHIL, NISARG",2019,4
"GOJOBORI, TAKASHI",2017,1
"GOKHALE, CHAITANYA S",2018,1
"GOKHALE, CHAITANYA S",2020,1
"GOKHALE, DIGAMBAR V",2019,1
"GOLBECK, JOHN H",2016,1
"GOLD, N D",2016,1
"GOLD, NICHOLAS D",2016,1
"GOLDBERG, SARAH",2017,1
"GOLDBERG, SARAH",2018,1
"GOLDBETER, ALBERT",2018,1
"GOLDEN, JAMES W",2016,1
"GOLDEN, JAMES W",2017,1
"GOLDEN, JAMES W",2018,1
"GOLDEN, SUSAN S",2016,1
"GOLDEN, SUSAN S",2017,1
"GOLDENBERG, ANNA",2016,1
"GOLDENFELD, NIGEL",2018,1
"GOLDFEDER, MOR",2016,1
"GOLDMAN, ELLEN R",2018,1
"GOLDMAN, G H",2017,1
"GOLDMAN, NICK",2017,1
"GOLDSCHMIDT, FELIX",2016,1
"GOLDSMITH, MOSHE",2018,1
"GOLDSWORTHY, VICTORIA",2018,1
"GOLEBIEWSKI, MARTIN",2016,1
"GOLEBIEWSKI, MARTIN",2018,1
"GOLEBIEWSKI, MARTIN",2019,1
"GOLEBIEWSKI, MARTIN",2020,2
"GOLEMI-KOTRA, DASANTILA",2016,1
"GOLLIHAR, JIMMY D",2018,2
"GOLLIHAR, JIMMY D",2020,1
"GOLTRY, SARA",2016,1
"GOMAA, M A",2016,1
"GOMAA, MOHAMED A",2016,1
"GOMELSKY, MARK",2018,1
"GOMES, ANTONIO L C",2016,1
"GOMES, ANTONIO L C",2017,1
"GOMES, ANTONIO L C",2019,1
"GOMES, DANIELA",2020,1
"GOMES, MARGARIDA C",2017,1
"GOMES-FILHO, JOSE VICENTE",2018,1
"GOMEZ TEJEDA ZANUDO, JORGE",2019,1
"GOMEZ, ANDREW",2016,1
"GOMEZ, MARCELLA M",2017,2
"GOMEZ-FERNANDEZ, BERNARDO J",2016,1
"GOMEZ-PORRAS, JUDITH LUCIA",2017,1
"GOMEZ-SCHIAVON, MARIANA",2018,1
"GOMEZ-SCHIAVON, MARIANA",2019,1
"GOMEZ-TATAY, LUCIA",2017,1
"GONÃƒÆ’Ã‚Â§ALVES, PAULA",2016,1
"GONCALVES, CARLOS ALBERTO X",2019,1
"GONDA, JOZEF",2018,1
"GONDRY, MURIEL",2019,1
"GONEN, SHANE",2016,1
"GONEN, TAMIR",2016,1
"GONG, BOWEN",2016,1
"GONG, ELISSA",2018,1
"GONG, FUYU",2016,1
"GONG, JIANHUI",2016,2
"GONG, JIAOJIAO",2018,1
"GONG, LINLIN",2020,1
"GONG, LU YAO",2018,1
"GONG, QIANG",2020,1
"GONG, RONG",2016,1
"GONG, RONG",2018,2
"GONG, RONG",2019,1
"GONG, SHA",2017,1
"GONG, TING",2016,1
"GONG, TING",2017,2
"GONG, TING",2018,1
"GONG, TING",2019,1
"GONG, XU",2017,1
"GONG, ZHIWEI",2017,1
"GONI-MORENO, ANGEL",2017,1
"GONI-MORENO, ANGEL",2018,5
"GONI-MORENO, ANGEL",2019,6
"GONI-MORENO, ANGEL",2020,3
"GONZÃƒÆ’Ã‚Â¡LEZ, JAIME",2016,1
"GONZÃƒÆ’Ã‚Â¡LEZ-TORIL, ELENA",2016,1
"GONZALES, DAVID THOMAS T",2019,2
"GONZALES, STEPHEN",2016,1
"GONZALEZ BARRIOS, ANDRES FERNANDO",2017,1
"GONZALEZ DE LA CRUZ, JORGE",2019,1
"GONZALEZ SALCEDO, ALINA",2019,1
"GONZALEZ, ANNETTE M",2018,1
"GONZALEZ, PATRICIA",2017,1
"GONZALEZ, RAMON",2017,2
"GONZALEZ, RAMON",2018,3
"GONZALEZ, RAMON",2019,1
"GONZALEZ, YEZABEL",2020,1
"GONZALEZ-BACERIO, JORGE",2018,1
"GONZALEZ-CABALEIRO, REBECA",2017,1
"GONZALEZ-ESQUER, C RAUL",2016,1
"GONZALEZ-ESQUER, C RAUL",2017,1
"GONZALEZ-FLO, EVA",2018,1
"GONZALEZ-MIRO, MAJELA",2019,1
"GONZALEZ-NAVARRETE, MANUEL",2016,1
"GONZALEZ-RIVERA, JUAN C",2019,1
"GONZALEZ-SANCHEZ, GUILLERMO",2019,1
"GONZALEZ-VILLANUEVA, MIRIAM",2017,1
"GONZALEZ-VILLANUEVA, MIRIAM",2018,1
"GONZALZLES, EDDIE MARIE",2018,1
"GOOD, MATTHEW",2018,1
"GOOD, MATTHEW C",2020,1
"GOODACRE, ROYSTON",2016,1
"GOODE, BRUCE L",2020,1
"GOODMAN, ANDREW L",2016,1
"GOODMAN, DANIEL B",2016,2
"GOODSON, MICHAEL S",2017,1
"GOOLD, HUGH DOUGLAS",2018,2
"GOOLD, HUGH DOUGLAS",2019,1
"GOOSENS, VIVIANNE J",2017,1
"GOOSENS, VIVIANNE J",2018,1
"GOOSSENS, ALAIN",2016,2
"GOOSSENS, ALAIN",2017,5
"GOOSSENS, ALAIN",2020,1
"GOPAL, BALASUBRAMANIAN",2019,1
"GOPAL, MADAN R",2017,1
"GORCHS ROVIRA, ALEIX",2018,1
"GORCHS ROVIRA, ALEIX",2020,1
"GORCZYCA, MARIA",2020,1
"GORDLEY, RUSSELL M",2016,1
"GORDON, D BENJAMIN",2016,2
"GORDON, D BENJAMIN",2017,1
"GORDON, D BENJAMIN",2018,1
"GORDON, D BENJAMIN",2019,3
"GORDON, EMMA A",2016,1
"GORDON, GINA C",2016,1
"GORDON, ZACHARY B",2018,1
"GORDON-BAR, NADAV",2017,1
"GORKOVSKIY, ANTON",2018,1
"GOROCHOWSKI, THOMAS E",2016,3
"GOROCHOWSKI, THOMAS E",2017,4
"GOROCHOWSKI, THOMAS E",2018,2
"GOROCHOWSKI, THOMAS E",2019,3
"GOROCHOWSKI, THOMAS E",2020,5
"GORWA-GRAUSLUND, MARIE F",2016,1
"GOSMANN, GRACE",2019,1
"GOSS, REBECCA J M",2017,2
"GOSS, REBECCA J M",2019,1
"GOSSING, MICHAEL",2017,2
"GOTFREDSEN, CHARLOTTE HELD",2020,1
"GOTHANDAM, K M",2017,1
"GOTHELF, KURT V",2017,1
"GOTTLIEB, SHAYIN",2016,1
"GOTTLIEB, SIMONE",2020,1
"GOU, JING",2019,1
"GOUDA, SUSHANTO",2019,1
"GOUDEAU, BERTRAND",2018,1
"GOUDGE, MARC C",2018,1
"GOUDY, LAINE E",2019,1
"GOULD, DAVID",2017,1
"GOULD, FRED",2019,1
"GOULD, NATHAN",2016,1
"GOULIAN, MARK",2016,1
"GOURGUES, GÃƒÆ’Ã‚Â©RALDINE",2016,1
"GOUVIS, HEATHER",2016,1
"GOUZE, JEAN-LUC",2018,1
"GOUZE, JEAN-LUC",2019,1
"GOVINDJEE, CHRISTOPHER",2017,1
"GOWERS, GLEN-OLIVER F",2018,1
"GOWERS, GLEN-OLIVER F",2019,1
"GOWERS, G-O F",2017,1
"GOWERS, G-O F",2018,1
"GOWERS, G-O F",2019,1
"GOYAL, GARIMA",2019,1
"GRABHERR, REINGARD",2019,1
"GRABOW, WADE W",2018,1
"GRADIÃƒâ€¦Ã‚Â¡AR, HELENA",2017,2
"GRAF, CAROLA",2020,1
"GRAF, TYLER N",2017,1
"GRAHAM, ALICIA E",2018,1
"GRAHAM, MORVEN",2016,1
"GRAINGER, DAVID W",2016,1
"GRAJKOWSKI, ANDRZEJ",2016,1
"GRAMAJO, HUGO",2018,1
"GRAMELSBERGER, GABRIELE",2017,1
"GRAMELSBERGER, GABRIELE",2020,1
"GRANDI, ALBERTO",2017,1
"GRANDI, ALBERTO",2019,1
"GRANDI, GUIDO",2017,1
"GRANDI, GUIDO",2019,1
"GRANELL, ANTONIO",2016,1
"GRANELL, ANTONIO",2017,1
"GRANELL, ANTONIO",2019,2
"GRANITO, TERESA",2018,1
"GRANT, PAUL K",2016,2
"GRANT-BURT, JESSICA",2017,1
"GRAS, STEPHANIE",2016,1
"GRASEMANN, LAURA",2020,1
"GRAU, FLORIAN C",2019,1
"GRAU, WILLIAM C",2016,1
"GRAU, WILLIAM C",2017,1
"GRAUGNARD, ELTON",2016,1
"GRAV, LISE MARIE",2019,1
"GRAWE, ALEXANDER",2017,1
"GRAWE, ALEXANDER",2018,1
"GRAY, BENJAMIN N",2017,1
"GRAY, NEIL D",2017,1
"GRAY, RICHARD",2020,1
"GRAYSON, KATIE J",2018,1
"GRBIC, VOJISLAVA",2016,1
"GREAVES, MARK",2017,1
"GRECO, CLAUDIO",2018,1
"GREELY, HENRY T",2017,1
"GREEN, ALEXANDER A",2016,2
"GREEN, ALEXANDER A",2017,2
"GREEN, ALEXANDER A",2018,1
"GREEN, ALEXANDER A",2019,1
"GREEN, CHARLOTTE A",2018,1
"GREEN, D W",2016,1
"GREEN, LUCY",2018,1
"GREEN, RACHEL",2016,1
"GREEN, SHON",2019,1
"GREEN, SYDNEE A",2019,1
"GREENBERG, ALISSA",2019,1
"GREENBERG, E. PETER",2018,1
"GREENE, ADRIENNE C",2016,1
"GREENE, AMY",2018,1
"GREENE, LESLEY H",2018,1
"GREENLEAF, WILLIAM",2019,1
"GREGG, CHRISTOPHER J",2020,1
"GREGORIO, NICOLE E",2019,1
"GREGORIO, NICOLE E",2020,1
"GREGORIO-GODOY, PAULA",2017,1
"GREGOROWIUS, DANIEL",2016,1
"GREGORY, ANN C",2019,1
"GREGORY, CAROLINE",2017,1
"GREGORY, JESSE F",2017,1
"GREISS, FERDINAND",2016,1
"GREMMELS, JUERGEN",2016,1
"GREUNKE, CHRISTIAN",2018,1
"GREWAL, PARBIR S",2017,1
"GREZ, MANUEL",2016,1
"GRIENEISEN, VERONICA A",2019,1
"GRIERSON, CLAIRE S",2016,1
"GRIERSON, CLAIRE S",2017,1
"GRIERSON, CLAIRE S",2019,1
"GRIFFIN, BENJAMIN",2019,1
"GRIFFIN, PETER B",2017,1
"GRIFFIN, PHILIP J",2019,1
"GRIFFITTS, JOEL S",2018,1
"GRIGOLON, SILVIA",2019,1
"GRIGONYTE, AURELIJA M",2016,1
"GRIGORAS, IOANA",2016,1
"GRIGORAS, IOANA",2019,1
"GRIGORIEV, IGOR V",2016,1
"GRIMA-PETTENATI, JACQUELINE",2019,1
"GROAZ, ELISABETTA",2016,1
"GROB, ALICE",2016,1
"GROB, ALICE",2018,1
"GROBAN, ELI",2017,1
"GROBAN, ELI S",2016,1
"GROHER, ANNA",2016,1
"GROHER, ANN-CHRISTIN",2018,1
"GROHER, FLORIAN",2017,1
"GROHER, FLORIAN",2018,3
"GROHER, FLORIAN",2019,2
"GROME, MICHAEL W",2020,1
"GROMYKO, OLEKSANDR",2018,1
"GRONENBERG, LUISA S",2016,1
"GRONENBERG, LUISA S",2018,1
"GRONVALL, GIGI KWIK",2017,2
"GRONVALL, GIGI KWIK",2019,2
"GROOTHUIS, DAPHNE",2019,1
"GROSECLOSE, THOMAS M",2019,1
"GROSENBACH, DOUGLAS W",2019,1
"GROSJEAN, JEREMY",2019,1
"GROSS, ELIZABETH",2016,1
"GROSS, ELIZABETH",2018,1
"GROSSI, GUIDO",2017,1
"GROSSMAN, TRUDY H",2020,1
"GROSSNIKLAUS, UELI",2019,1
"GROTE, VALERIAN",2020,1
"GROTEWOLD, E",2016,1
"GROVES, BENJAMIN",2016,1
"GROVES, BENJAMIN",2017,1
"GROVES, RYAN A",2018,1
"GROZINGER, LEWIS",2019,1
"GROZINGER, LEWIS",2020,1
"GRUBER, ANSGAR",2019,1
"GRUBER, KARL",2019,1
"GRUBER, STEFFEN",2019,1
"GRUDEN, KRISTINA",2016,1
"GRUDEN, KRISTINA",2017,1
"GRUETZNER, RAMONA",2018,1
"GRUETZNER, RAMONA",2020,1
"GRUEZ, ARNAUD",2018,1
"GRUN, CASEY",2017,1
"GRUNBERG, RAIK",2016,2
"GRUNBERG, RAIK",2017,3
"GRUNBERG, RAIK",2018,2
"GRUNBERG, RAIK",2019,1
"GRUNBERG, RAIK",2020,3
"GRUNBERG, THEODORE W",2019,1
"GRUNBERGER, ALEXANDER",2016,1
"GRUNBERGER, ALEXANDER",2017,1
"GRUND, TAMARA N",2018,1
"GRUNDMANN, ALEXANDER",2018,1
"GRUNING, BJOERN",2019,1
"GU, AN-DI",2018,1
"GU, HONGLIAN",2017,1
"GU, JING-YING",2017,1
"GU, JING-YING",2018,1
"GU, LI",2017,1
"GU, LUO",2018,1
"GU, PENGFEI",2017,1
"GU, PENGFEI",2018,1
"GU, STANLEY",2018,1
"GU, TINGYUE",2017,1
"GU, WEI",2017,1
"GU, WEI",2018,1
"GU, WENJIA",2018,1
"GU, YANG",2017,2
"GU, YANG",2018,1
"GU, YANG",2019,1
"GU, YANG",2020,4
"GU, YING",2018,1
"GUAN, NINGZI",2017,2
"GUAN, NINGZI",2019,1
"GUAN, XUEWEI",2016,1
"GUAN, YIFU",2016,1
"GUARINO, AGOSTINO",2020,1
"GUAZZARONI, MARIA-EUGENIA",2017,2
"GUAZZARONI, MARIA-EUGENIA",2018,3
"GUAZZARONI, MARIA-EUGENIA",2019,1
"GUAZZARONI, MARIA-EUGENIA",2020,1
"GUBBENS, JACOB",2017,1
"GUBIÃƒâ€¦Ã‚Â¡, JOZEF",2018,1
"GUBIÃƒâ€¦Ã‚Â¡OVA, MARCELA",2018,1
"GUEDAN, SONIA",2018,1
"GUEDAN, SONIA",2020,1
"GUELL, MARC",2019,2
"GUELLA, GRAZIANO",2019,1
